de-DE;ESDVS2018ULML;205841;VSP ULT 2018;89,99;79,99;;10 %;-11%;($10)
de-DE;ESDVS2018ULMLUG;205842;VSP ULT 2018;69,99;62,99;;10 %;-10%;($7)
en-AU;ESDVS2018ULML;205841;VSP ULT 2018;129;116;;10%;-10%;($13)
en-AU;ESDVS2018ULMLUG;205842;VSP ULT 2018;99;89;;10%;-10%;($10)
en-CA;ESDVS2018ULML;205841;VSP ULT 2018;99.99;89.99;;10%;-10%;($10)
en-CA;ESDVS2018ULMLUG;205842;VSP ULT 2018;79.99;69.99;;10%;-13%;($10)
en-GB;ESDVS2018ULML;205841;VSP ULT 2018;89.99;79.99;;10%;-11%;($10)
en-GB;ESDVS2018ULMLUG;205842;VSP ULT 2018;69.99;62.99;;10%;-10%;($7)
en-US;ESDVS2018ULML;205841;VSP ULT 2018;99.99;89.99;;10%;-10%;($10)
en-US;ESDVS2018ULMLUG;205842;VSP ULT 2018;79.99;69.99;;10%;-13%;($10)
fr-FR;ESDVS2018ULML;205841;VSP ULT 2018;89,99;79,99;;10 %;-11%;($10)
fr-FR;ESDVS2018ULMLUG;205842;VSP ULT 2018;69,99;62,99;;10 %;-10%;($7)
it-IT;ESDVS2018ULML;205841;VSP ULT 2018;89,99;79,99;;10%;-11%;($10)
it-IT;ESDVS2018ULMLUG;205842;VSP ULT 2018;69,99;62,99;;10%;-10%;($7)
ja-JP;ESDVS2018ULML;205841;VSP ULT 2018;18,144;16,329;;10%;-10%;($1,815)
ja-JP;ESDVS2018ULMLUG;205842;VSP ULT 2018;13,824;12,441;;10%;-10%;($1,383)
pt-BR;ESDVS2018ULML;205841;VSP ULT 2018;199;179;;10%;-10%;($20)
pt-BR;ESDVS2018ULMLUG;205842;VSP ULT 2018;159;143;;10%;-10%;($16)